Sentence	Slot
Die meisten Fotoobjektive werden bewusst mit Vignettierung konstruiert , da man dadurch einen besseren Kompromiss zwischen Lichtstärke , Korrektion der Abbildungsfehler und Kosten erreichen kann .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Bekanntlich war bei Ihnen so ziemlich die ganze deutsche Kabarett-Prominenz zu Gast .	O O O O O O O O B-LOCderiv O O O O
Dies erklärte der leitende Ingenieur des Flugzeugwerkes in Tiflis , Gocha Goguadse , der Nachrichtenagentur Prime News per Telefon .	O O O O O O O O B-LOC O B-PER I-PER O O O B-ORG I-ORG O O O
Die Doldenstiele und -strahlen sind dicht weichflaumig behaart .	O O O O O O O O O
""" Es wird also nicht einfach "" , meint "" ManU "" -Teammanager Sir Alex Ferguson : "" Aber wir sind es gewohnt , die Ersten zu sein und müssen gewinnen ."	O O O O O O O O O O B-ORG O O O B-PER I-PER O O O O O O O O O O O O O O O O
Nach seinem Wechsel 1875 an das Karlsgymnasium in Bernburg ( Saale ) wurde er dort zunächst 1877 zum Oberlehrer und zehn Jahre später zum Professor ernannt .	O O O O O O B-PERpart O B-LOC O B-LOC O O O O O O O O O O O O O O O O
Das SS-Freiwilligen-Grenadier-Regiment 88 wurde im März aus einer Kampfgruppe der SS-Führerschule des Wirtschafts- und Verwaltungsdienstes und Teilen des I./SS-Polizei-Regiments 34 der Ordnungspolizei , Heeresangehörigen und Volkssturm gebildet .	O B-ORGpart I-ORGpart O O O O O O O B-ORGpart O O O O O O O B-ORGpart I-ORGpart O O O O O O O O
Barauszahlungen sind grundsätzlich nicht möglich .	O O O O O O
Ein Projekt , dessen Anlass die Zusammenarbeit mit einem jamaikanischen Obstsaft-Produzenten für Werbezwecke war .	O O O O O O O O O B-LOCderiv O O O O O
Besser so , die Konkurrenz ist vernichtend schön .	O O O O O O O O O
Bei Pickeln reicht ein Klecks Zahncreme zum Austrocknen .	O O O O O O O O O
Für den dabei auftretenden relativen Rundungsfehler gilt : Dabei wird ε als Maschinengenauigkeit bezeichnet .	O O O O O O O O O O O O O O O
Selbst dann könnte er aber bald sein Studium in Neuenburg weiterführen .	O O O O O O O O O B-LOC O O
Auch Ronaldo lässt sich nicht mehr sehen .	O B-PER O O O O O O
Meist führen die Verbände ein Verzeichnis der zertifizierten Preisträger , das auf ihren Internetseiten einsehbar ist .	O O O O O O O O O O O O O O O O O
Jedoch fielen die Kritiken eher durchwachsen aus , wenn gleich Heathen Chemistry freundlicher von der Presse aufgenommen wurde als die beiden vorigen Alben .	O O O O O O O O O O B-OTH I-OTH O O O O O O O O O O O O
Im Herbst 1945 erfolgte seine Berufung an die Universität Jena zum ordentlichen Professor auf den Lehrstuhl für Acker- und Pflanzenbau und die Ernennung zum Direktor des Instituts für Pflanzenbau und Pflanzenzucht .	O O O O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
Die deutschen Staaten , die nach dem Wiener Kongress ihre Territorien auf das linke Rheinufer ausweiteten , respektierten die von Frankreich errichtete Rechtsordnung weitgehend .	O B-LOCderiv O O O O O B-OTH I-OTH O O O O O B-LOCpart O O O O O B-LOC O O O O
Der Aktienkurs blieb am Vormittag mit 63,15 Euro nahezu konstant ( 52-Wochen-Hoch : 64,05 Euro ; 52-Wochen-Tief : 49,95 Euro ) .	O O O O O O O B-OTH O O O O O O B-OTH O O O O B-OTH O O
Er stibitzt Hühner und Apfelsaft von den Bauern und schon bald machen diese drei grimmigen Kerle Jagd auf den Fuchs .	O O O O O O O O O O O O O O O O O O O O O
Es geht darum , die Bauten zu schützen , die beispielhaft für ihre Bauzeit sind .	O O O O O O O O O O O O O O O O
Allerdings hat Ehrenberg den Sieg teuer bezahlen müssen .	O O B-ORG O O O O O O
""" Es herrscht weiter Explosionsgefahr "" , sagte ein Polizeisprecher ."	O O O O O O O O O O O
Vorderseite einer Personal Geocoin Rückseite derselben Die ersten Geocoins überhaupt wurden von dem Geocacher Moun10Bike in Umlauf gebracht .	O O O O O O O O O O O O O O B-PER O O O O
Gerade nach dem ersten aufsehenerregenden 100-Meter-Lauf bei den Olympischen Spielen in Peking 2008 spekulierten viele über nicht nachweisbare Mittel , die die Ermüdung der Muskulatur herauszögern .	O O O O O O O O B-ORG I-ORG O B-LOC O O O O O O O O O O O O O O O
Werk Im Sommer 1945 fotografierte sie im Auftrag der Alliierten serienmäßig die Einwohner ihrer Heimat ( so genannte Kennkarten-Aktion ) .	O O O O O O O O O B-OTH O O O O O O O O O O O
Als „ Jahrhundertgenie des Ornaments “ ( Moser ) stachelte er nicht nur den Unmut des Kritikers Loos an , sondern trug auch zum Niedergang der Wiener Werkstätte bei .	O O O O O O O B-PER O O O O O O O O O B-PER O O O O O O O O B-LOCderiv O O O
Deshalb ist Freigang für den aktiven Kater sehr wichtig und unbedingt notwendig .	O O O O O O O O O O O O O
Christian von Hofe , der 1881 Alma , geborene Dau , ehelichte , verstarb am 16. Juni 1954 im Alter von 83 Jahren in Frankfurt am Main .	B-PER I-PER I-PER O O O B-PER O O B-PER O O O O O O O O O O O O O O B-LOC I-LOC I-LOC O
Ausbildung In der Bundesrepublik Deutschland können die Befähigungszeugnisse „ Kapitän BK “ ( Kleine Hochseefischerei ) und „ Kapitän BG “ ( Große Hochseefischerei ) im Rahmen einer bundeseinheitlichen Regelung erworben werden .	O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Zumindest als Neuland für Berlin .	O O O O B-LOC O
Nach dem er seinen Plan in Washington politisch hatte durchsetzen können , hoffte er von Präsident Andrew Jackson zum ersten Territorialgouverneur des Wisconsin-Gebiets ernannt zu werden .	O O O O O O B-LOC O O O O O O O O O B-PER I-PER O O O O B-LOCpart O O O O
Ab dem zweiten Jahr sind die Entwicklungen der Korbwerte für die Berechnung der Kuponhöhe maßgeblich .	O O O O O O O O O O O O O O O O
Das 1927 neu herausgegebene Kew Gardens war die attraktivste Veröffentlichung in der Zusammenarbeit der Schwestern .	O O O O B-OTH I-OTH O O O O O O O O O O
Um vier Uhr machte er sich auf die Rückfahrt .	O O O O O O O O O O
Es kam hier nur vereinzelt zu Gewinnmitnahmen .	O O O O O O O O
Der wundersame Strauch wurde noch im 16. Jahrhundert Besuchern des Ortes gezeigt .	O O O O O O O O O O O O O
Viele Fragen der Schiffstheorie , die Euler schon aufgeworfen und mit den Mitteln seiner Zeit behandelt hatte , fanden in dieser Phase mit Hilfe moderner Erkenntnisse und Methoden eine abschließende , physikalisch gesicherte Antwort .	O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Mit den Pretiosen hatte Gloria nach dem Tod ihres Mannes 1990 Steuerschulden in Höhe von 45 Millionen Mark bezahlt .	O O O O B-PER O O O O O O O O O O O O B-OTH O O
Neben einem 4-in-1 Kartenleser und Bluetooth 2.0 hat Medion einen 8-fach DVD- und CD-Brenner eingebaut , der auch Double-Layer-Medien unterstützt .	O O O O O O O O B-ORG O O O O O O O O O O O O
"Im Mittelalter fand die Schlacht von Worringen am 5. Juni 1288 in der "" Fühlinger Heide "" statt ."	O O O O B-OTH I-OTH I-OTH O O O O O O O B-LOC I-LOC O O O
Spätestens hier können wir erkennen , dass unser aller Einschätzung der Krise nicht einmal ansatzweise unabhängig , sondern tief europäischen Denkmustern verhaftet ist .	O O O O O O O O O O O O O O O O O O O B-LOCderiv O O O O
Auch Zahn erklärt dies damit , dass Familien mit Pflegebedürftigen meist etwas anderes wollen als eine Kraft mit geregelter Arbeitszeit , die zudem keine pflegerischen Tätigkeiten ausüben darf .	O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
Lehre Obwohl Longinos ein Zeitgenosse Plotins und Schüler von dessen Lehrer Ammonios Sakkas war , wird er nicht dem Neuplatonismus , sondern wegen seiner relativ konservativen Haltung noch dem Mittelplatonismus zugerechnet .	O O B-PER O O B-PER O O O O O B-PER I-PER O O O O O O B-PERpart O O O O O O O O O B-PERpart O O
Die zahlreichen Naturhäfen an allen Küsten prägten nicht nur die Wirtschafts- und Militärgeschichte der Inselgruppe in allen historischen Epochen , sondern auch die des gesamten Vereinigten Königreichs .	O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O
Modernisierung ja , aber der Kurs der CSU ist nicht auf das Erreichen ganz neuer Ufer eingerichtet .	O O O O O O O B-ORG O O O O O O O O O O
Das Öffnen von zusätzlichen Ports einer Firewall erhöht den Zeit- und Arbeitsaufwand für Systemadministratoren und birgt unter Umständen zusätzliche Sicherheitsrisiken .	O O O O O O O O O O O O O O O O O O O O O
Er heiratet 1994 die Schauspielerin Marie Préaud , mit der er zwei Söhne , Mateo und Paolo , hat .	O O O O O B-PER I-PER O O O O O O O B-PER O B-PER O O O
Bei der Sitzung des hessischen Wahlausschusses wurden 30 Kandidaten der Freien Wähler von der Liste gestrichen , da diese die formellen Voraussetzung zur Kandidatur nicht erfüllten oder ihre Kandidatur bereits zurückgezogen hatten .	O O O O B-LOCderiv O O O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O
Sie machen gemeinsam etwa 80 % des Haushalts aus .	O O O O O O O O O O
Er arbeitet mit der Theatergruppe an Werken von Ionesco und T. S. Eliot und stellt 1958 in der Kunstgalerie Ruthermore in San Francisco aus .	O O O O O O O O B-PER O B-PER I-PER I-PER O O O O O O B-ORG O B-LOC I-LOC O O
Anni Krahnstöver gehörte 1946/47 dem zweiten ernannten Landtag von Schleswig-Holstein an und anschließend bis zum 4. Januar 1948 dem ersten gewählten Landtag .	B-PER I-PER O O O O O O O B-LOC O O O O O O O O O O O O O
Daneben spielt die Rinder - und Pferdezucht eine Rolle .	O O O O O O O O O O
Selbst der Grünen-Vorsitzende Reinhard Bütikofer und FDP-Chef Guido Westerwelle erwarten nun den Wechsel zu einer großen Koalition in Schleswig-Holstein .	O O B-ORGpart B-PER I-PER O B-ORGpart B-PER I-PER O O O O O O O O O B-LOC O
Sie bekommt einen Sohn , aber dem Leben als Ehefrau und Mutter ist sie kaum gewachsen .	O O O O O O O O O O O O O O O O O
Außerdem kreuzte Mr. oder Mrs . X bei den Zusatzspielen Super 6, Spiel 77 und Glücksspirale jeweils Ja an .	O O O O O O B-PER O O O O O O O O B-OTH O O O O
Durch Fischerei und Jagd rottete der Mensch alle größeren Raubtiere des Watts aus , ebenso wie viele Arten , die aktiv am Entstehen des Habitats beteiligt waren .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Ein Jojo-Effekt wird mit grosser Sicherheit eintreten , zumal beim Fasten nicht erlernt wird , wie eine dauerhafte gute Ernährung anzuwenden ist .	O O O O O O O O O O O O O O O O O O O O O O O
Der Queen Sirikit Park ( 0,224 km² ) ist ein Botanischer Garten , der zu Ehren des 60. Geburtstags von Königin Sirikit im Dezember 1996 eröffnet wurde .	O B-LOC I-LOC I-LOC O O O O O O O O O O O O O O O O O B-PER O O O O O O
Besonders drastisch war die Teuerungsrate im Januar bei Lebensmitteln .	O O O O O O O O O O
Oder der Partner , von dem man ein Gefühl der Selbstverantwortung für den eigenen Körper erwarten kann .	O O O O O O O O O O O O O O O O O O
Er pflegte Kontakt zu seinen Fachkollegen im In- und Ausland .	O O O O O O O O O O O
Die literarische und archäologische Frage nach den tropaia ton apostolon '' , Gym .	B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O O B-ORG O
Der Deutsche bestimmte bis auf den Schlussteil die Gangart .	O B-LOCderiv O O O O O O O O
Einige soziale Organisationen bekundeten ihre Unzufriedenheit mit dieser Entlassung .	O O O O O O O O O O
Zu verteilen gibt es nur noch das Wirtschaftsdepartement und das Justizdepartement .	O O O O O O O O O O O O
Das bestätigte der Leiter des Ordnungsamtes der Kreisbehörde , Hannes Markert .	O O O O O O O O O B-PER I-PER O
Die Mobilitätserziehung befasst sich mit Unfallanalysen und erarbeitet daraus praktische Konsequenzen für die Wahl der angemessenen Mobilitätsformen , das Verhalten in , mit und um Fahrzeuge , den Umgang der Verkehrsteilnehmer untereinander .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Der Hauptkamm war zugleich die Außengrenze der Vereinigten Staaten .	O B-LOC O O O O O B-LOC I-LOC O
Das BKA hat für die Bundesanwaltschaft schon mehrmals in Afghanistan ermittelt .	O B-ORG O O O B-ORG O O O B-LOC O O
Der Text war bereits im September von beiden Seiten unterzeichnet worden .	O O O O O O O O O O O O
Dafür kann das Bild bei den neuen Notebooks dank eines HDMI-Ausgangs auch ohne Docking-Station digital an einen zweiten Monitor ausgegeben werden . weiter ...	O O O O O O O O O O O O O O O O O O O O O O O O
Boris Hedde : Image von Kaiser’s nachhaltig geschwächt In : Wirtschaftswoche online vom 29. Juni 2009 Der langjährig Beschäftigten war vorgeworfen worden , zwei ihr nicht gehörende Leergutbons im Gesamtwert von 1,30 Euro eingelöst zu haben .	B-PER I-PER O B-OTH I-OTH I-OTH I-OTH I-OTH O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O O O B-OTH O O O O
Der Anschlag auf die Moschee von Samarra zeigt nun eindrücklich , was für ein tiefer Graben sich durch die muslimische Welt selbst zieht .	O O O O O O B-LOC O O O O O O O O O O O O O O O O O
Das Aussteigen wäre nix für mich gewesen .	O O O O O O O O
Ein eigenständiger Tarifvertrag ohne Lohn- und Arbeitszeitverbesserungen macht jedoch keinen Sinn .	O O O O O O O O O O O O
Der Kirchturm wurde 1765 angebaut , eine Orgel wurde 1784 eingerichtet .	O O O O O O O O O O O O
gallica ) hat purpurne , sehr große Blüten ( 6 cm Durchmesser ) , hauptsächlich von ihr stammen die Gartenrosen ab .	O O O O O O O O O O O O O O O O O O O O O O
Aber wo war denn Raul , als Spaniens Nationalmannschaft die Europameisterschaft 2008 und die Weltmeisterschaft 2010 gewonnen hat ?	O O O O B-PER O O B-LOC O O B-LOCpart O O O O O O O O
Er zeigt ihr den Zettel , und die Mutter erkennt , dass John ihr eigenes Kind ist .	O O O O O O O O O O O O B-PER O O O O O
Der Oppositionspolitiker verurteilte zudem den Haushaltsentwurf für 2011. Seinen Worten zufolge übertrug die Regierung die Kosten auf sozial Schwache .	O O O O O O O O O O O O O O O O O O O O
Veröffentlichungen * Zur Geschichte der Fernrohre * Der Regenbogen * Die Astronomie in der Schule * Wer ist Gamma ?	O O B-OTH I-OTH I-OTH I-OTH O B-OTH I-OTH O B-OTH I-OTH I-OTH I-OTH I-OTH O B-OTH I-OTH I-OTH I-OTH
Diese steht in Verbindung mit der Sinner-Bank , aber die Delarchers empfinden Salomon und Isaak gegenüber wegen ihres „ leisen , schleichenden , katzengleichen Ganges “ und anderer Eigentümlichkeiten eine fast körperliche Abneigung ( S.	O O O O O O B-ORG O O O B-PER O B-PER O B-PER O O O O O O O O O O O O O O O O O O O O
Außerdem wurden bei einer Durchsuchung seiner Wohnung in Tempelhof im April dieses Jahres weitere 15 CDs mit ähnlichem Inhalt allerdings von anderen Künstlern sichergestellt .	O O O O O O O O B-LOC O O O O O O O O O O O O O O O O
Der Auftragsbestand belief sich zum 31. Dezember 2008 auf 990,2 Millionen Euro ( Vorjahr : 462,7 Millionen Euro ) .	O O O O O O O O O O O B-OTH O O O O O B-OTH O O
Auch für sie zählte der Indianer nichts .	O O O O O B-ORG O O
Im Vorjahr verzeichnete der Landkreis noch eine Quote von 16,0 Prozent .	O O O O O O O O O O O O
Campi et al . ( 1996 ) konnten zeigen , dass der Rotationskörper mit konstanter Breite mit minimalem Volumen ein Reuleaux-Dreieck ist , das um eine seiner Symmetrieachsen rotiert .	B-OTH I-OTH I-OTH O O O O O O O O O O O O O O O O O B-PERpart O O O O O O O O O
Der Meteoritensucher hatte im Frühjahr auf der dänischen Insel Lolland 30 Gramm eines Meteoriten aufgespürt , der Mitte Januar über Nordeuropa beobachtet worden war .	O O O O O O O B-LOCderiv O B-LOC O O O O O O O O O O B-LOC O O O O
Zur historischen Substanz gehören die Säulenarkade im Untergeschoss sowie die zur Münzstraße zeigende Rückwand des Palas mit den romanischen Fenstern des Rittersaales .	O O O O O O O O O O O B-LOC O O O O O O B-OTHderiv O O O O
Immer wird der Mann gefunden und vom Adeligen ausgepeitscht .	O O O O O O O O O O
Dieser wurde 1936 das Stadtrecht verliehen .	O O O O O O O
Die Sanierung der Ortsmitte Jesingen schreitet voran .	O O O O B-LOC O O O
Beschreibung Rostow beschreibt in seinem Buch eine systematische Abfolge von fünf Stufen in der wirtschaftlichen Entwicklung .	O B-PER O O O O O O O O O O O O O O O
Jetzt habe ich einen teilzeitjob und bald wieder meine eigene Wohnung .	O O O O O O O O O O O O
Über 500 Jahre unterstand Usingen der nassauischen Oberhoheit .	O O O O B-LOC O B-LOCderiv O O
An Hörstationen in einem grün gestalteten Raum werden neben Bildtexten Geschichten erzählt .	O O O O O O O O O O O O O
Ägypten habe mit den Kidnappern nicht verhandelt .	B-LOC O O O O O O O
Weitere Karriere und Tod Nach dem Ausscheiden aus dem Amt des Gouverneurs im Jahr 1903 wurde McMillin in Nashville in der Versicherungsbranche tätig .	O O O O O O O O O O O O O O O O B-PER O B-LOC O O O O O
Am 7. Februar 1528 erliess Bern das Reformationsmandat .	O O O O O B-LOC O O O
Technik Für damalige Verhältnisse war das Spiel sehr beachtlich : Pierce Brosnan konnte man auch als solchen erkennen , und auch die restlichen Darsteller des Films wurden recht gut eingefangen .	O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O
13 Jahre verbrachte James II.	O O O B-PER I-PER
Kostensenkungen und Nachfragebelebung wirken sich positiv aus Allerdings profitierte es schon in der zweiten Hälfte des Jahres wieder von den belebenden Effekten , die von keyensianischen Ausgabenprogrammen in Form der Abwrackprämie ausgingen .	O O O O O O O O O O O O O O O O O O O O O O O O O B-PERderiv O O O O O O O
Vgl . dazu die Belege bei Kreucher .	O O O O O O B-PER O
Geldgeber – ob spendende Privatperson oder Unternehmen – entscheiden sich bei einem überzeugenden Projekt eher für ein regionales Engagement .	O O O O O O O O O O O O O O O O O O O O
Und sie existiert offenbar auch in der Sexualität , wie eine Studie jetzt ergeben hat : Ein Scheinmedikament konnte die Libido von Frauen deutlich steigern .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Dieses stammt von dem Vorgängerbrunnen aus der ersten Hälfte des 16. Jahrhunderts .	O O O O O O O O O O O O O
Am Samstag geht es ab 13 Uhr im Spieselstadion los , bei schlechtem Wetter in der TSV-Sporthalle .	O O O O O O O O B-LOC O O O O O O O B-ORGpart O
Dabei wird Natalya Fyodorovna Semyonova beobachtet , wie sie aus den Trümmern des Kontrollzentrums entkommt .	O O B-PER I-PER I-PER O O O O O O O O O O O
Der VIP-Parkplatz ist deshalb « VIP » , weil er relativ nah dran ist an der Soers und nicht etwa , weil dort Cocktails mit Schirmchen serviert würden .	O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
Am Markt wurde auf die überraschend schwachen US-Lagerbestandsdaten verwiesen , die dem Ölpreis bereits im Verlauf neue Höchststände beschert hatten .	O O O O O O O B-LOCpart O O O O O O O O O O O O O
""" Wir wollen , dass die Leute wirklich begeistert von GTA IV sind und nicht schon im voraus das ganze Spiel auswendig kennen "" , so Dan Houser , Vizepräsident von Rockstar ."	O O O O O O O O O O B-OTH I-OTH O O O O O O O O O O O O O O B-PER I-PER O O O B-ORG O
So waren auch die Malteser , die den Sanitätsdienst beim Stadtfest seit vielen Jahren versehen , angetan .	O O O O B-ORG O O O O O O O O O O O O O
Wir sollten dankbar sein daß es Menschen gibt die der Gleichültigkeit und der Ignoranz noch nicht anheimgefallen sind .	O O O O O O O O O O O O O O O O O O O
Józef Hála : Franz Baron von Nopcsa , Anmerkungen zu seiner Familie und seine Beziehungen zu Albanien .	B-PER I-PER O B-PER I-PER I-PER I-PER O O O O O O O O O B-LOC O
Damit konnte man allerdings nichts anfangen « , meint Helmut Bitsch und lacht .	O O O O O O O O O B-PER I-PER O O O
Am 3. Oktober fertigte die HiRISE-Kamera Aufnahmen vom Victoria -Krater , an dessen Rand sich zu dem Zeitpunkt der Opportunity -Rover befand .	O O O O O B-ORGpart O O B-LOC I-LOC O O O O O O O O O B-OTH I-OTH O O
Die Gedanken der Völker , die mich verehren , werden rein sein , und sie werden sich am Sonnenlicht erfreuen .	O O O O O O O O O O O O O O O O O O O O O
Ebenfalls schnell unterwegs war Augusto Farfus .	O O O O B-PER I-PER O
Mit Eine gute Partie ( Premiere 25. April ) folgt eine Komödie von Stefan Vögel , dem Autor des Stücks Süßer die Glocken , das derzeit sehr gut beim Publikum ankommt .	O B-OTH I-OTH I-OTH O O O O O O O O O B-PER I-PER O O O O O B-OTH I-OTH I-OTH O O O O O O O O O
Mit deutlichem Abstand und 205,50 Punkten landete Ex-Weltmeisterin Mao Asado auf Rang zwei .	O O O O O O O O B-PER I-PER O O O O
"Frankreich und Rumänien müssten sich abstimmen , "" ohne künstliches Wahlkampffieber "" ."	B-LOC O B-LOC O O O O O O O O O O
Die Studie testete 2006 in 57 Ländern die Kenntnisse von 15-Jährigen - erstmals mit Schwergewicht Naturwissenschaften .	O O O O O O O O O O O O O O O O O
Das israelische Militär äußerte Zweifel an der Ursache der Explosion .	O B-LOCderiv O O O O O O O O O
Diese Objekte sind zu groß und zu schwer , um in Koffer zu passen .	O O O O O O O O O O O O O O O
Von Welsh's Milkwood ( Asclepias welshii ) , einer Art aus der Familie der Seidengewächse , ist außer einem Standort im Monument nur ein weiterer im benachbarten Utah bekannt .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O
Im Jahre 1955 kam er mit den letzten Kriegsgefangenen nach Deutschland zurück .	O O O O O O O O O O B-LOC O O
Im Zuge der Neuorganisation des Sports in Ostdeutschland auf der Basis von so genannten Betriebssportgemeinschaften ( BSG ) wurde 1949 die BSG Vorwärts Greiz gegründet .	O O O O O O O B-LOC O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O
Da könnten deutsche Kommunen noch viel lernen .	O O B-LOCderiv O O O O O
""" Personal Jesus "" heißt ihr neues Album , das ab 16. Juli in den Plattenläden erhältlich ist ."	O B-OTH I-OTH O O O O O O O O O O O O O O O O
""" In Europa sind wir es noch nicht ."	O O B-LOC O O O O O O
Der Ort gehörte zum Besitz der Grafen von Blankenburg-Regenstein , die 1599 ausstarben , wodurch Timmenrode in den Besitz des Herzogs von Braunschweig überging .	O O O O O O O B-PER I-PER O O O O O O B-LOC O O O O O B-PER I-PER O O
Deutschland - Österreich - Schweiz , hg . v . Reinhard Hempelmann , völlig neu bearb . Ausg. , Stuttgart 1997 , S. 118f .	B-LOC O B-LOC O B-LOC O O O O O B-PER I-PER O O O O O O O B-LOC O O O O O
Wer wird denn den Zuschlag kriegen ?	O O O O O O O
Seit 2002 werden sie durch Neoplan 4411 NF ersetzt .	O O O O O B-OTH I-OTH I-OTH O O
Er scheitert , seine Rakete wird dabei zerstört und Farmer schwer verletzt .	O O O O O O O O O O O O O
Als Ausweg wurde einer gigantischen Maschine der Auftrag gegeben , die Harmonie auf dem Planeten wiederherzustellen .	O O O O O O O O O O O O O O O O O
Minden ( vor 1896 ) - kein Exemplar nachweisbar * G. Adolfi : Die Kapellmeisterin .	B-LOC O O O O O O O O O B-PER I-PER O B-OTH I-OTH O
NEWSru.ua / : Политисполком СПУ отказал Морозу в отставке Die SPU legte , wie auch vier weitere Parteien , beim Obersten Gericht der Ukraine Beschwerde gegen den Ablauf der Wahl ein und behauptet , es sei bei der Auszählung zu Unregelmäßigkeiten gekommen .	B-OTH O O B-OTH I-OTH I-OTH I-OTH I-OTH I-OTH O B-ORG O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O
Die Mitglieder seines Verbandes erbringen nach eigenen Angaben 80 Prozent dieser Eingriffe .	O O O O O O O O O O O O O
"Das werden wir uns nicht nehmen lassen "" , unterstrich der Bundestrainer , der sich beim Bundesligaspiel Bayer Leverkusen gegen den VfB Stuttgart als Tribünengast gezeigt hatte ."	O O O O O O O O O O O O O O O O B-ORGpart B-ORG I-ORG O O B-ORG I-ORG O O O O O
Salvatore Noll hatte sich die Qualifikation zur deutschen Meisterschaft als Ziel gesetzt .	B-PER I-PER O O O O O B-LOCderiv O O O O O
Damit grassiert die Vogelgrippe jetzt in sechs Bundesländern .	O O O O O O O O O
Eine erneute Überprüfung der Anträge habe keine Änderungen erbracht , sagte eine Sprecherin des Landes- Umweltministeriums am Freitag in Hannover .	O O O O O O O O O O O O O O B-ORG I-ORG O O O B-LOC O
"Sehenswürdigkeiten "" Alte Schule "" Odersberg "" Neue Schule "" Odersberg Zu den Sehenswürdigkeiten zählt das Wahrzeichen von Odersberg , die Alte Schule ."	O O B-LOC I-LOC O B-LOC O B-LOC I-LOC O B-LOC O O O O O O O B-LOC O O B-LOC I-LOC O
Jeder , der da erst Mal drin ist steigt unaufhaltsam auf , ob er was kann oder nicht .	O O O O O O O O O O O O O O O O O O O
Damit hätte Schröder dann seinen amerikanischen Traum wahr gemacht .	O O B-PER O O B-LOCderiv O O O O
Der dadurch verhinderte Schaden betrug gut sieben Millionen Euro .	O O O O O O O O B-OTH O
Letztendlich ging der Film also leer aus .	O O O O O O O O
Mit sechzehn Jahren wurde er zum Spieler in der Ligamannschaft von CHZ Litvinov berufen .	O O O O O O O O O O O B-ORG I-ORG O O
Es wird allerdings fast nie gemalt , sondern nur aufgeklebt , gedruckt oder tätowiert .	O O O O O O O O O O O O O O O
